shoeName,brand,category,color,price,releaseDate,rating,imageLink
Kate Calfskin Red Sole Stiletto Knee Boots,Christian Louboutin,Boots,Black,1495,2019,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4076069_100106_m"
The Tire Boots,Bottega Veneta,Boots,Black/ Blue,1200,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3516355_100127_m"
Montreal Calfskin Zip Snow Booties,Gianvito Rossi,Boots,Beige,1395,2021,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4109438_100296_m"
Macademia Mixed Leather Red Sole Platform Booties,Christian Louboutin,Boots,Beige,1795,2021,3.9,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4076075_100143_m"
Analeah Snake-Print Leather Tall Boots,Schutz,Boots,Black,238,2019,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3371040_100106_m"
Koller Calfskin Chain Knee Boots,Saint Laurent,Boots,Black,1895,2021,3.9,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4114859_100106_m"
Derby Leather Knee Riding Boots,Khaite,Boots,Dark Brown,1460,2018,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3514294_100244_m"
Edith 15mm Calfskin Boots,Chloe,Boots,Black,1250,2017,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4139046_100106_m"
Ginette Knit Waterproof Rain Boots,Moncler,Boots,Green,400,2017,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4091683_100338_m"
So Kate Mock-Croc Red Sole Ankle Booties,Christian Louboutin,Boots,Navy,1095,2016,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4038794_100404_m"
Dylan Cuissard Vitello Glove Over-the-Knee Boots,Gianvito Rossi,Boots,Black,1745,2021,4.7,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4109454_100106_m"
Creeper Calfskin Chelsea Booties,Ganni,Boots,Black,445,2021,4.6,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4214115_100106_m"
