shoeName,brand,category,color,price,releaseDate,rating,imageLink
Mocalaureat Flat Red Sole Loafers,Christian Louboutin,Loafers,Black/Loubi,695,2020,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_3201463_100106_m"
Brushed Metal Leather Penny Loafers,Bougeotte,Loafers,Charcoal,830,2020,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_4078043_100133_m"
Viv Rangers Buckle Loafers,Roger Vivier,Loafers,Black,1050,2019,4.2,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_3145803_100106_m"
Jessa Leather Horse Bit Loafers,Tory Burch,Loafers,Perfect Black PE,398,2020,4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_4213806_100106_m"
Lyvi Kiltie Tassel Loafer Mules,See By Chloe,Loafers,Black,375,2021,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_4227030_100106_m"
Easy Bicolor Leather Penny Loafers,Ganni,Loafers,Placid Blue,395,2021,4.4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4214111_100426_m"
Creeper Calfskin Monk Loafers,Ganni,Loafers,Black,475,2021,4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4214108_100106_m"
Calfskin Logo Flat Loafers,Prada,Loafers,Bianco,950,2021,4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4206576_100189_m"
Goldie Pearly Grain Leather Loafers,Stuart Weitzman,Loafers,Black,450,2019,5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4181888_100106_m"
Lia 2 Shearling Leather Loafers,Malone Souliers,Loafers,Neutral,595,2020,4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4103486_100319_m"
Teresa Suede Flat Loafers,Italeu,Loafers,Nero,269,2019,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4196246_100106_m"
Berra Reversible Gancini Suede Drivers,Salvatore Ferragamo,Loafers,Black,595,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_3712496_100106_m"
