shoeName,brand,category,color,price,releaseDate,rating,imageLink
Leather Dual-Grip Slingback Sandals,Dries Van Noten,Sandals,Green,775,2021,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4226008_100340_m"
Dual-Grip Shearling Cozy Sandals,Dries Van Noten,Sandals,Camel,860,2014,4.2,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4143832_100273_m"
Quilted Leather Slingback Sporty Sandals,Dries Van Noten,Sandals,Black,855,2013,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4143834_100106_m"
Acinda Shearling Crystal-Strap Slide Sandals,Jimmy Choo,Sandals,Pink,695,2021,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4176975_100601_m"
Marga Crystal-Buckle Slide Sandals,Jimmy Choo,Sandals,Black/Crystal,795,2016,4.1,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4067034_100106_m"
Roman Stud 50mm Slides,Valentino Garavani,Sandals,Rose,890,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4169198_100296_m"
Fur Sporty Buckle Sandals,Saint Laurent,Sandals,Nero,795,2017,4,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4125577_100106_m"
Patent Leather Crystal Slide Sandals,Giuseppe Zanotti,Sandals,Nero,795,2016,4.1,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4069693_100106_m"
x Birkenstock Milano Double-Buckle Sporty Slingback Sandals,Jil Sander,Sandals,Black,525,2015,4.6,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4109894_100106_m"
Fussbett Bicolor Calfskin Slingback Sandals,Marni,Sandals,Black/White,650,2013,4.7,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4128960_100101_m"
Forager Calfskin Dual-Grip Sport Sandals,Birkenstock,Sandals,Lemon Drop,450,2017,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_1200/01/nm_4048749_100612_m"
Signature Shearling Strappy Sandals,Fendi,Sandals,NERO TABACCO NERO,1050,2021,4.9,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4186620_100244_m"
