shoeName,brand,category,color,price,releaseDate,rating,imageLink
Oversized Sneakers,Alexander McQueen,Sneakers,White/ Black,580,2014,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_2005999_100106_m"
Tiketa Slip-On Red Sole Runner Sneakers,Christian Louboutin,Sneakers,Black,845,2021,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3505392_100106_m"
Superstar Leather Glitter Low-Top Sneakers,Golden Goose,Sneakers,White/ Black,530,2007,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4134261_100188_m"
Arrow Text Graphic Print Suede Low-Top Sneakers,Off- White,Sneakers,White/ Black,400,2018,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3621224_100101_m"
Beth Grip Strap Sneakers,Isabel Marant,Sneakers,White,385,2016,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_2924100_100189_m"
New Salmond Check Leather Sneakers,Burberry,Sneakers,White,520,2019,4.5,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3312511_100189_m"
SDU Bicolor Runner Sneakers,Veja,Sneakers,Blue,125,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4073063_100385_m"
Vieirissima Mock-Croc Red Sole Court Sneakers,Christian Louboutin,Sneakers,Black,795,2021,4.3,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4038854_100404_m"
Loubishark Donna Red Sole Sneakers,Christian Louboutin,Sneakers,Red,895,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_4076078_100144_m"
Franckie Bicolor Low-Top Sneakers,Chloe,Sneakers,White,525,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_590/01/nm_3731327_100189_m"
Leather Low-Top Court Sneakers,Tom Ford,Sneakers,Black,890,2021,4.7,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4118724_100106_m"
Pearland Leather Low-Top Sneakers,Fendi,Sneakers,White,795,2021,4.8,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_2966859_100189_m"
